r,r,r,r,deci_avg,r,s,traffic_avg,f,d,ped_average,longitude,latitude
,,,,0,,,0,,,0,-75.692165,45.429576
,,,,0,,,0,,,0,-75.69201876,45.4272214
,,,,0,,,0,,,0,-75.70777173,45.37671213
64.2,53.6,61.8,53.7,58.325,,,0,,,0,-75.69436684,45.42842709
,,,,0,,,0,,,0,-75.69301161,45.42806702
,,,,0,,,0,,,0,-75.69431975,45.42843863
,,,,0,,,0,,,0,-75.69336042,45.42815716
,,,,0,,,0,12,2,7,-75.692936,45.429352
,,,,0,,,0,,,0,-75.69301361,45.42909797
75.6,53,73.3,54.6,64.125,,,0,,,0,-75.69305243,45.4290916
,,,,0,,,0,,,0,-75.6935867,45.42868225
,,,,0,,,0,,,0,-75.6944276,45.428548
,,,,0,,,0,,,0,-75.692582,45.427138
,,,,0,,,0,,,0,-75.69361211,45.42885188
72.6,50.6,60.8,50.1,58.525,,,0,,,0,-75.693878,45.428038
,,,,0,8,4,6,,,0,-75.6910181,45.42884579
,,,,0,,,0,4,5,4.5,-75.692411,45.429208
,,,,0,,,0,,,0,-75.69226823,45.42767069
,,,,0,,,0,,,0,-75.68906959,45.42644353
,,,,0,9,2,5.5,,,0,-75.69180949,45.42967178
,,,,0,9,25,17,,,0,-75.69220855,45.4283234
,,,,0,,,0,,,0,-75.69297033,45.42907781
60.9,50.2,70.4,49.9,57.85,,,0,,,0,-75.69274151,45.4287771
65.9,55.8,67.3,56.6,61.4,,,0,,,0,-75.6938421,45.42878665
73,50.6,68.6,52,61.05,,,0,,,0,-75.6939274,45.4279965
,,,,0,,,0,,,0,-75.69275741,45.42771661
,,,,0,,,0,,,0,-75.69262989,45.42759041
69.1,53.1,80.5,53.5,64.05,,,0,,,0,-75.6933885,45.4281619
,,,,0,13,11,12,,,0,-75.69049377,45.42791822
71.9,57.6,69.3,57,63.95,,,0,,,0,-75.69405959,45.42864118
,,,,0,,,0,,,0,-75.69200162,45.4272006
,,,,0,,,0,,,0,-75.69216362,45.42778123
,,,,0,,,0,,,0,-75.69162101,45.42708497
,,,,0,5,4,4.5,,,0,-75.69079589,45.42772702
,,,,0,,,0,,,0,-75.69170731,45.42741692
69.4,49.3,66.3,50.9,58.975,,,0,,,0,-75.6924659,45.427294
,,,,0,9,8,8.5,,,0,-75.69127052,45.42658124
70.2,54.3,66.2,56.5,61.8,,,0,,,0,-75.691521,45.42851877
66.2,56.5,66.2,53.4,60.575,,,0,,,0,-75.692049,45.42737
